1,"","chlorine","",349.,"kilojoules per mole"
2,"","fluorine","",328.,"kilojoules per mole"
3,"","bromine","",324.6,"kilojoules per mole"
4,"","iodine","",295.2,"kilojoules per mole"
5,"","sulfur","",200.,"kilojoules per mole"
6,"","carbon","",153.9,"kilojoules per mole"
7,"","oxygen","",141.,"kilojoules per mole"
8,"","silicon","",133.6,"kilojoules per mole"
9,"","phosphorus","",72.,"kilojoules per mole"
10,"","hydrogen","",72.8,"kilojoules per mole"
11,"","nitrogen","",7.,"kilojoules per mole"
